account_id,bio_length,has_profile_pic,is_private,username_digit_count,username_length
1,0,1,1,0,10
2,0,1,0,4,15
3,0,0,0,3,12
4,0,1,0,1,10
5,0,1,0,0,14
6,0,1,1,4,13
7,30,1,0,0,12
8,0,1,0,0,11
9,0,1,0,3,15
10,1,1,1,3,8
11,0,1,1,2,14
12,0,1,0,3,7
13,0,0,1,0,12
14,0,1,0,0,17
15,58,0,0,3,30
16,0,0,0,0,10
17,26,0,0,0,9
18,0,0,0,0,15
19,34,0,0,0,11
20,0,1,0,2,10
21,0,1,1,4,10
22,0,0,0,3,11
23,0,0,1,2,8
24,0,0,1,0,12
25,0,0,1,4,9
26,111,1,0,1,20
27,11,1,0,0,11
28,0,0,0,0,11
29,0,1,1,0,5
30,0,1,0,4,10
31,0,0,1,7,11
32,16,1,1,0,9
33,53,1,0,0,8
34,89,1,0,0,11
35,0,1,0,4,10
36,0,0,1,0,12
37,16,1,1,0,13
38,0,0,0,2,12
39,13,0,1,1,11
40,0,1,0,0,8
41,10,0,1,2,13
42,8,1,0,3,9
43,0,1,0,4,10
44,17,1,0,0,6
45,20,0,1,0,9
46,0,1,1,4,9
47,0,0,0,1,9
48,0,0,0,0,12
49,0,1,0,3,13
50,0,0,0,5,15
51,50,1,1,2,13
52,0,1,1,2,7
53,27,1,0,0,6
54,53,0,0,0,13
55,0,1,1,2,12
56,9,1,1,1,7
57,0,1,0,2,11
58,23,1,0,4,17
59,0,1,0,1,7
60,0,0,0,0,8
61,0,0,0,1,11
62,0,1,0,4,9
63,0,1,0,0,9
64,0,1,0,4,12
65,0,0,1,4,12
66,0,1,0,1,10
67,0,1,0,0,8
68,0,1,0,3,13
69,15,1,1,2,12
70,0,1,0,0,11
71,0,1,0,1,7
72,37,1,1,2,9
73,0,0,0,5,15
74,0,1,1,0,13
75,85,1,1,0,13
76,0,0,1,2,9
77,0,0,0,4,14
78,0,0,1,0,14
79,0,0,0,0,13
80,0,0,1,2,9
81,0,1,0,4,9
82,0,0,0,3,13
83,0,0,0,1,7
84,4,1,1,0,8
85,0,0,0,0,8
86,0,0,0,3,10
87,0,0,0,2,12
88,0,1,0,0,14
89,0,1,0,0,11
90,0,1,0,3,10
