account_id,follower_count,following_count,media_count
1,25,1937,0
2,324,4122,0
3,15,399,0
4,14,107,1
5,264,4651,0
6,33,1470,2
7,420,4883,8
8,442,6662,396
9,816,7497,85
10,150,6631,0
11,235,7202,1
12,99,1358,1
13,59,6603,0
14,4,179,1
15,39,1022,0
16,8,23,0
17,622,364,2
18,37,207,0
19,66,244,0
20,32,4,1
21,27,354,0
22,47,106,0
23,25,136,0
24,5,243,1
25,0,848,0
26,232,6013,1
27,534,539,0
28,1,8,0
29,0,126,0
30,5,77,0
31,0,6,0
32,80,1844,1
33,87,851,0
34,29,1603,2
35,247,1749,3
36,290,2269,0
37,12,2721,1
38,46,2521,0
39,2,1973,0
40,8,1359,0
41,36,2004,6
42,37,1982,1
43,61,992,0
44,105,6802,0
45,607,7455,0
46,14,1725,0
47,69,3577,1
48,26,1919,0
49,12,1710,1
50,12,1377,0
51,51,3241,0
52,8,1709,0
53,514,1999,0
54,104,1423,0
55,83,2012,0
56,69,1374,0
57,282,2517,5
58,49,2499,1
59,14,3359,0
60,49,2987,0
61,20,3543,0
62,63,2318,0
63,5,964,1
64,58,826,0
65,110,1612,0
66,21,946,1
67,15,659,1
68,2,757,0
69,125,1396,0
70,14,3086,1
71,4,883,0
72,11,1898,0
73,3208,1911,0
74,0,2513,1
75,124,1411,0
76,441,2772,0
77,10,1768,0
78,14,1229,4
79,16,2473,0
80,22,2666,0
81,24,2503,1
82,32,2471,0
83,102,332,0
84,53,620,1
85,9,1770,0
86,12,2319,0
87,7,2116,0
88,52,2479,0
89,14,1803,0
90,22,1330,0
91,4,1546,0
92,58,2132,0
93,8,2039,0
94,22,4006,0
95,15,3949,0
96,26,3400,0
97,32,3921,0
98,34,7158,0
99,47,3999,0
100,162,171,1
101,643,2240,2
102,147,2387,0
103,35,4621,0
104,11,4677,0
105,52,4614,0
106,33,5133,2
107,29,5105,0
108,6,961,0
109,64,190,3
110,18,1741,0
111,163,6747,3
112,6,181,1
113,17,1299,1
114,16,266,0
115,153,1195,0
116,38,1678,0
117,959,2107,3
118,109,1722,8
119,129,1796,5
120,35,2553,1
121,6,866,2
122,19,4046,1
123,34,938,3
124,494,3853,1
125,30,940,3
126,26,1392,3
127,5,16,0
128,160,2246,1
129,48,179,4
130,55,776,1
131,11,159,1
132,185,1928,3
133,11,2258,3
134,29,1857,1
135,39,481,2
136,71,31,3
137,3,151,0
138,1,1807,0
139,3,76,0
140,11,76,0
141,1,67,0
142,29,41,0
143,0,3,0
144,13,114,0
145,17,183,0
146,24,696,0
147,3,157,0
148,0,54,0
149,11,344,0
150,1,282,0
151,0,577,0
152,0,434,0
153,2,57,0
154,26,142,0
155,49,111,0
156,1,127,0
157,16,486,0
158,25,322,0
159,0,194,0
160,0,174,0
161,0,524,0
162,5,460,1
163,0,753,9
164,0,140,0
165,301,7493,0
166,368,6929,2
167,80,4839,5
168,28,4518,1
169,223,1735,6
170,140,1104,3
171,85,1401,9
172,32,2184,2
173,34,3681,1
174,14,2429,1
175,11,1008,1
176,228,4956,1
177,133,145,4
178,407,3792,1
179,64,359,6
180,288,4276,1
181,307,4887,3
182,88,266,1
183,145,2291,1
184,34,219,2
185,165,618,0
186,165,752,0
187,151,1975,0
188,12,25,0
189,1338,3364,0
190,401,3796,0
191,228,1779,0
192,1127,3758,3
193,0,0,0
194,1,0,9
195,1,1,7
196,0,25,6
197,0,0,6
198,0,1,9
199,1,0,5
200,0,0,6
201,258,238,0
202,263,482,29
203,51,78,0
204,297,480,25
205,113,242,95
206,545,995,340
207,52,121,30
208,1038,6640,156
209,172,227,10
210,101,114,4
211,250,247,4
212,413,677,38
213,172,187,7
214,337,455,2
215,114,155,8
216,174,165,76
217,372,362,13
218,338,330,17
219,2207,593,198
220,449,410,19
221,594,863,276
222,679,764,39
223,569,539,95
224,540,543,73
225,441,368,30
226,570,455,120
227,368,1114,69
228,634,648,21
229,687,539,78
230,579,413,221
231,752,726,312
232,861,686,323
233,535,368,49
234,1872,1806,374
235,257,149,39
236,3140,496,807
237,491,745,373
238,434,528,93
239,1073,837,49
240,1532,1431,313
241,737,875,53
242,335,353,2
243,399,364,9
244,310,330,0
245,392,379,8
246,163,186,0
247,642,707,10
248,594,800,21
249,295,302,2
250,377,539,40
251,345,393,2
252,667,660,20
253,347,610,14
254,340,378,9
255,1136,976,188
256,206,201,16
257,873,913,52
258,289,224,10
259,510,594,25
260,804,648,29
261,542,531,78
262,516,555,39
263,472,431,59
264,138,124,2
265,201,317,14
266,234,242,11
267,302,306,37
268,586,779,88
269,260,410,3
270,377,508,25
271,561,508,114
272,720,643,93
273,413,677,38
274,415,416,45
275,247,289,70
276,321,391,1
277,847,652,83
278,312,323,12
279,535,426,60
280,323,326,8
281,521,1282,156
282,258,286,5
283,306,329,11
284,256,307,12
285,346,303,16
286,300,267,22
287,230,230,2
288,516,538,20
289,257,254,26
290,334,411,21
291,195,396,31
292,740,940,483
293,340,343,8
294,404,461,1
295,197,320,9
296,474,410,33
297,213,153,209
298,936,706,61
299,207,196,7
300,77,92,0
301,453,528,75
302,293,339,92
303,473,497,16
304,379,436,56
305,642,776,236
306,350,393,19
307,167,184,10
308,301,444,60
309,536,504,134
310,374,311,23
311,342,343,56
312,673,587,11
313,426,486,110
314,593,923,34
315,313,280,13
316,292,447,47
317,95,106,0
