2026-03-30 23:15:23,573 - INFO - Pipeline initialized.
2026-03-30 23:18:17,117 - INFO - Loaded fakeAccountData.json: 200 fake accounts.
2026-03-30 23:18:17,224 - INFO - Loaded realAccountData.json: 994 real accounts.
2026-03-30 23:18:17,595 - INFO - Combined dataset: 1194 total accounts.
2026-03-30 23:18:17,598 - INFO - Columns in dataset: ['userFollowerCount', 'userFollowingCount', 'userBiographyLength', 'userMediaCount', 'userHasProfilPic', 'userIsPrivate', 'usernameDigitCount', 'usernameLength', 'isFake', 'label', 'account_id']
2026-03-30 23:29:24,422 - INFO - Found 5000 real images and 4630 fake images.
2026-03-30 23:29:24,817 - INFO - Constructed face_images DataFrame with 9630 records.
2026-03-30 23:32:44,075 - INFO - Assigned profile picture id to accounts.
2026-03-30 23:32:44,194 - INFO - Sample of assigned profile_pic_id:
   account_id label  profile_pic_id
0           1  fake            5913
1           2  fake            5205
2           3  fake            7254
3           4  fake            7007
4           5  fake            6829
2026-03-30 23:35:11,092 - INFO - Table 'accounts': 1194 rows x 4 cols
2026-03-30 23:35:11,117 - INFO - Table 'account_stats': 1194 rows x 4 cols
2026-03-30 23:35:11,122 - INFO - Table 'account_profile': 1194 rows x 6 cols
2026-03-30 23:35:11,125 - INFO - Table 'face_images': 9630 rows x 3 cols
2026-03-30 23:39:03,582 - INFO - CSVs written to 'data/csv/' with total size 241.1 KB
2026-03-31 09:48:59,932 - INFO - Pipeline initialized.
2026-03-31 09:49:00,038 - INFO - Loaded fakeAccountData.json: 200 fake accounts.
2026-03-31 09:49:00,102 - INFO - Loaded realAccountData.json: 994 real accounts.
2026-03-31 09:49:00,115 - INFO - Combined dataset: 1194 total accounts.
2026-03-31 09:49:00,117 - INFO - Columns in dataset: ['userFollowerCount', 'userFollowingCount', 'userBiographyLength', 'userMediaCount', 'userHasProfilPic', 'userIsPrivate', 'usernameDigitCount', 'usernameLength', 'isFake', 'label', 'account_id']
2026-03-31 09:49:00,378 - INFO - Found 5000 real images and 4630 fake images.
2026-03-31 09:49:00,387 - INFO - Constructed face_images DataFrame with 9630 records.
2026-03-31 09:49:00,446 - INFO - Assigned profile picture id to accounts.
2026-03-31 09:49:00,457 - INFO - Sample of assigned profile_pic_id:
   account_id label  profile_pic_id
0           1  fake            5913
1           2  fake            5205
2           3  fake            7254
3           4  fake            7007
4           5  fake            6829
2026-03-31 09:49:00,492 - INFO - Table 'accounts': 1194 rows x 4 cols
2026-03-31 09:49:00,493 - INFO - Table 'account_stats': 1194 rows x 4 cols
2026-03-31 09:49:00,495 - INFO - Table 'account_profile': 1194 rows x 6 cols
2026-03-31 09:49:00,497 - INFO - Table 'face_images': 9630 rows x 3 cols
2026-03-31 09:52:12,419 - INFO - Pipeline initialized.
2026-03-31 09:52:25,919 - INFO - Generating 8436 synthetic accounts to match total images.
2026-03-31 09:52:26,208 - INFO - Synthetic data generated: (8436, 12)
2026-03-31 09:52:26,281 - INFO - Synthetic label split:
label
real    7071
fake    1365
2026-03-31 10:28:15,540 - INFO - CSVs written to 'data/csv/' with total size 241.1 KB
2026-03-31 10:28:48,138 - INFO - Combined real and synthetic data: (9630, 13)
2026-03-31 10:28:48,172 - INFO - Final label distribution:
label
real    8065
fake    1565
2026-03-31 10:28:48,210 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,212 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,213 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,214 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,215 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,218 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,219 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,222 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,223 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,224 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,226 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,227 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,228 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,229 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,232 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,233 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,234 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,235 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,238 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,240 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,241 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,242 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,243 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,245 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,247 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,250 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,252 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,254 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,256 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,258 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,260 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,261 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,263 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,264 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,265 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,266 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,268 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,269 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,272 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,273 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,274 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,275 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,276 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,278 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,280 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,281 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,282 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,284 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,285 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,286 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,288 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,289 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,291 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,292 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,294 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,295 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,296 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,297 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,299 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,301 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,303 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,305 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,306 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,308 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,309 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,310 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,312 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,313 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,315 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,317 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,318 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,320 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,322 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,323 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,324 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,325 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,326 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,327 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,329 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,330 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,331 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,333 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,334 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,336 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,338 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,339 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,342 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,343 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,344 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,345 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,347 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,348 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,349 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,350 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,353 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,355 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,356 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,358 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,359 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,361 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,362 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,363 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,366 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,367 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,370 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,372 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,373 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,375 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,376 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,378 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,379 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,380 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,382 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,383 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,386 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,389 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,391 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,393 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,394 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,396 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,398 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,399 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,403 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,405 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,407 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,408 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,409 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,410 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,412 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,414 - WARNING - Ran out of real images, reusing randomly
